state_nm,state_ab,state_fips,region
Alabama,AL,01,South
Alaska,AK,02,Pacific
Arizona,AZ,04,Southwest
Arkansas,AR,05,South
California,CA,06,Pacific
Colorado,CO,08,West
Connecticut,CT,09,Northeast
Delaware,DE,10,Mid-Atlantic
Florida,FL,12,South
Georgia,GA,13,South
Hawaii,HI,15,Pacific
Idaho,ID,16,West
Illinois,IL,17,Midwest
Indiana,IN,18,Midwest
Iowa,IA,19,Midwest
Kansas,KS,20,Midwest
Kentucky,KY,21,South
Louisiana,LA,22,South
Maine,ME,23,Northeast
Maryland,MD,24,Mid-Atlantic
Massachusetts,MA,25,Northeast
Michigan,MI,26,Midwest
Minnesota,MN,27,Midwest
Mississippi,MS,28,South
Missouri,MO,29,Midwest
Montana,MT,30,West
Nebraska,NE,31,Midwest
Nevada,NV,32,West
New Hampshire,NH,33,Northeast
New Jersey,NJ,34,Northeast
New Mexico,NM,35,Southwest
New York,NY,36,Northeast
North Carolina,NC,37,South
North Dakota,ND,38,Midwest
Ohio,OH,39,Midwest
Oklahoma,OK,40,Southwest
Oregon,OR,41,Pacific
Pennsylvania,PA,42,Mid-Atlantic
Rhode Island,RI,44,Northeast
South Carolina,SC,45,South
South Dakota,SD,46,Midwest
Tennessee,TN,47,South
Texas,TX,48,Southwest
Utah,UT,49,West
Vermont,VT,50,Northeast
Virginia,VA,51,Mid-Atlantic
Washington,WA,53,Pacific
West Virginia,WV,54,Mid-Atlantic
Wisconsin,WI,55,Midwest
Wyoming,WY,56,West
American Samoa,AS,60,Islands
Guam,GU,66,Islands
Northern Mariana Islands,MP,69,Islands
Puerto Rico,PR,72,Islands
Virgin Islands,VI,78,Islands
Washington DC,DC,11,Mid-Atlantic
