PLACEFP,PLACE_NM,rank_pop_size,top_100
3651000,"New York city, New York",1,1
0644000,"Los Angeles city, California",2,1
1714000,"Chicago city, Illinois",3,1
4835000,"Houston city, Texas",4,1
4260000,"Philadelphia city, Pennsylvania",5,1
0455000,"Phoenix city, Arizona",6,1
4865000,"San Antonio city, Texas",7,1
0666000,"San Diego city, California",8,1
4819000,"Dallas city, Texas",9,1
0668000,"San Jose city, California",10,1
1235000,"Jacksonville city, Florida",11,1
1836003,"Indianapolis city (balance), Indiana",12,1
0667000,"San Francisco city, California",13,1
4805000,"Austin city, Texas",14,1
3918000,"Columbus city, Ohio",15,1
4827000,"Fort Worth city, Texas",16,1
3712000,"Charlotte city, North Carolina",17,1
2622000,"Detroit city, Michigan",18,1
4824000,"El Paso city, Texas",19,1
4748000,"Memphis city, Tennessee",20,1
2404000,"Baltimore city, Maryland",21,1
2507000,"Boston city, Massachusetts",22,1
5363000,"Seattle city, Washington",23,1
1150000,"Washington city, District of Columbia",24,1
4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",25,1
0820000,"Denver city, Colorado",26,1
2148006,"Louisville/Jefferson County metro government (balance), Kentucky",27,1
5553000,"Milwaukee city, Wisconsin",28,1
4159000,"Portland city, Oregon",29,1
3240000,"Las Vegas city, Nevada",30,1
4055000,"Oklahoma City city, Oklahoma",31,1
3502000,"Albuquerque city, New Mexico",32,1
0477000,"Tucson city, Arizona",33,1
0627000,"Fresno city, California",34,1
0664000,"Sacramento city, California",35,1
0643000,"Long Beach city, California",36,1
2938000,"Kansas City city, Missouri",37,1
0446000,"Mesa city, Arizona",38,1
5182000,"Virginia Beach city, Virginia",39,1
1304000,"Atlanta city, Georgia",40,1
0816000,"Colorado Springs city, Colorado",41,1
3137000,"Omaha city, Nebraska",42,1
3755000,"Raleigh city, North Carolina",43,1
1245000,"Miami city, Florida",44,1
3916000,"Cleveland city, Ohio",45,1
4075000,"Tulsa city, Oklahoma",46,1
0653000,"Oakland city, California",47,1
2743000,"Minneapolis city, Minnesota",48,1
2079000,"Wichita city, Kansas",49,1
7276770,"San Juan zona urbana, Puerto Rico",50,1
4804000,"Arlington city, Texas",51,1
0603526,"Bakersfield city, California",52,1
2255000,"New Orleans city, Louisiana",53,1
1571550,"Urban Honolulu CDP, Hawaii",54,1
0602000,"Anaheim city, California",55,1
1271000,"Tampa city, Florida",56,1
0804000,"Aurora city, Colorado",57,1
0669000,"Santa Ana city, California",58,1
2965000,"St. Louis city, Missouri",59,1
4261000,"Pittsburgh city, Pennsylvania",60,1
4817000,"Corpus Christi city, Texas",61,1
0662000,"Riverside city, California",62,1
3915000,"Cincinnati city, Ohio",63,1
2146027,"Lexington-Fayette urban county, Kentucky",64,1
0203000,"Anchorage municipality, Alaska",65,1
0675000,"Stockton city, California",66,1
3977000,"Toledo city, Ohio",67,1
2758000,"St. Paul city, Minnesota",68,1
3451000,"Newark city, New Jersey",69,1
3728000,"Greensboro city, North Carolina",70,1
3611000,"Buffalo city, New York",71,1
4858016,"Plano city, Texas",72,1
3128000,"Lincoln city, Nebraska",73,1
3231900,"Henderson city, Nevada",74,1
1825000,"Fort Wayne city, Indiana",75,1
3436000,"Jersey City city, New Jersey",76,1
1263000,"St. Petersburg city, Florida",77,1
0613392,"Chula Vista city, California",78,1
5157000,"Norfolk city, Virginia",79,1
1253000,"Orlando city, Florida",80,1
0412000,"Chandler city, Arizona",81,1
4841464,"Laredo city, Texas",82,1
5548000,"Madison city, Wisconsin",83,1
3775000,"Winston-Salem city, North Carolina",84,1
4845000,"Lubbock city, Texas",85,1
2205000,"Baton Rouge city, Louisiana",86,1
3719000,"Durham city, North Carolina",87,1
4829000,"Garland city, Texas",88,1
0427820,"Glendale city, Arizona",89,1
3260600,"Reno city, Nevada",90,1
1230000,"Hialeah city, Florida",91,1
3254600,"Paradise CDP, Nevada",92,1
5116000,"Chesapeake city, Virginia",93,1
0465000,"Scottsdale city, Arizona",94,1
3251800,"North Las Vegas city, Nevada",95,1
4837000,"Irving city, Texas",96,1
0626000,"Fremont city, California",97,1
0636770,"Irvine city, California",98,1
0107000,"Birmingham city, Alabama",99,1
3663000,"Rochester city, New York",100,1
